epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.20663,1.0988,1.70629,1.44684,0.02637,0.21667,0.09246,0.05376,2.11711,4.99191,2.04051,0,0,0
2,4.64164,1.02002,1.90274,1.29345,0.05753,0.31667,0.12192,0.06488,2.03647,4.731,1.99257,1.17822e-06,1.17822e-06,1.17822e-06
3,6.9961,0.97825,1.79226,1.44217,0.07336,0.56667,0.1367,0.05964,1.96607,4.40292,1.93939,2.33288e-06,2.33288e-06,2.33288e-06
4,9.4624,1.08892,1.58587,1.32063,0.05816,0.56667,0.15748,0.08599,1.89583,4.20074,1.88096,3.46397e-06,3.46397e-06,3.46397e-06
5,12.1762,1.18798,1.77435,1.57886,0.1072,0.36667,0.2524,0.16792,1.86269,4.02922,1.84856,4.5715e-06,4.5715e-06,4.5715e-06
6,14.3605,1.44895,3.1214,1.87018,0.38245,0.28333,0.2635,0.20404,1.86214,3.77439,1.81336,5.65548e-06,5.65548e-06,5.65548e-06
7,16.5023,1.11197,1.20629,1.42983,0.6128,0.26563,0.26705,0.2025,1.8413,3.51247,1.77799,6.71588e-06,6.71588e-06,6.71588e-06
8,18.6649,0.89642,1.45724,1.30524,0.6989,0.25,0.27109,0.20581,1.85479,3.32639,1.77014,7.75273e-06,7.75273e-06,7.75273e-06
9,20.8187,0.99819,1.60787,1.35277,0.60394,0.26667,0.32614,0.21273,1.74885,3.10084,1.62602,8.76602e-06,8.76602e-06,8.76602e-06
10,23.0308,0.98511,2.03483,1.48955,0.75526,0.25,0.35479,0.23502,1.68232,2.929,1.53794,9.75574e-06,9.75574e-06,9.75574e-06
11,25.3233,1.20757,1.35733,1.52396,0.6348,0.3503,0.39304,0.24558,1.59303,2.75957,1.52583,1.07219e-05,1.07219e-05,1.07219e-05
12,27.5662,0.88937,1.16171,1.31579,0.64751,0.35437,0.4604,0.30752,1.54876,2.66211,1.47896,1.16645e-05,1.16645e-05,1.16645e-05
13,29.7344,0.85702,1.40003,1.12377,0.71224,0.36618,0.47132,0.31943,1.521,2.54599,1.46495,1.25835e-05,1.25835e-05,1.25835e-05
14,31.8758,0.90839,1.19495,1.341,0.71593,0.3623,0.47609,0.32035,1.53792,2.43287,1.45889,1.3479e-05,1.3479e-05,1.3479e-05
15,34.0658,0.77819,0.87331,1.07265,0.75406,0.35481,0.52081,0.34703,1.60568,2.35627,1.4767,1.43509e-05,1.43509e-05,1.43509e-05
16,36.1752,0.89868,0.95525,1.41841,0.67621,0.41067,0.5554,0.36247,1.62994,2.25433,1.46924,1.51993e-05,1.51993e-05,1.51993e-05
17,38.2864,0.61235,0.7642,1.04429,0.6732,0.42682,0.58255,0.40316,1.64033,2.15284,1.47073,1.60241e-05,1.60241e-05,1.60241e-05
18,40.4033,0.96893,0.87555,1.27098,0.6732,0.42682,0.58255,0.40316,1.64033,2.15284,1.47073,1.68253e-05,1.68253e-05,1.68253e-05
19,42.6381,0.87414,1.05378,1.11995,0.67339,0.42383,0.66474,0.46461,1.65972,2.00205,1.47088,1.7603e-05,1.7603e-05,1.7603e-05
20,44.7723,0.90949,0.79175,1.19734,0.67339,0.42383,0.66474,0.46461,1.65972,2.00205,1.47088,1.83571e-05,1.83571e-05,1.83571e-05
21,46.9167,0.87803,1.48422,1.34646,0.66505,0.43199,0.67227,0.4886,1.62448,1.85464,1.46218,1.90876e-05,1.90876e-05,1.90876e-05
22,49.1448,0.98145,1.37345,1.43877,0.66505,0.43199,0.67227,0.4886,1.62448,1.85464,1.46218,1.97946e-05,1.97946e-05,1.97946e-05
