epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.0803,1.12451,0.96541,1.25735,0.79567,0.69489,0.73221,0.48324,1.27576,1.53658,1.3164,0.00332373,0.00332373,0.00332373
2,107.507,1.15258,0.9274,1.23839,0.84664,0.54652,0.6385,0.3966,1.52132,2.08147,1.43478,0.00664388,0.00664388,0.00664388
3,156.028,1.25541,1.04172,1.27746,0.70618,0.73726,0.72647,0.44846,1.40666,1.79679,1.34986,0.00995083,0.00995083,0.00995083
4,204.322,1.31734,1.092,1.28228,0.61978,0.60008,0.65858,0.39839,1.36686,2.47841,1.31341,0.0099406,0.0099406,0.0099406
5,252.733,1.32186,1.11309,1.29245,0.64129,0.63608,0.6516,0.42288,1.3119,1.58177,1.30703,0.0099208,0.0099208,0.0099208
6,302.359,1.30487,1.08234,1.2732,0.71664,0.65931,0.73975,0.46967,1.30618,1.39432,1.30668,0.009901,0.009901,0.009901
7,350.496,1.27281,1.03469,1.25408,0.79698,0.69189,0.71499,0.48722,1.24489,1.5345,1.23784,0.0098812,0.0098812,0.0098812
8,399.181,1.26837,1.02191,1.25085,0.78449,0.64188,0.73317,0.48178,1.29615,1.12493,1.2718,0.0098614,0.0098614,0.0098614
9,447.325,1.26747,1.04282,1.24643,0.70621,0.67756,0.71209,0.44817,1.29498,1.06516,1.30003,0.0098416,0.0098416,0.0098416
10,495.959,1.29632,1.02027,1.27502,0.75435,0.58095,0.67935,0.42951,1.35459,1.26491,1.31949,0.0098218,0.0098218,0.0098218
11,545.094,1.25005,0.96425,1.24933,0.65216,0.69629,0.71309,0.44505,1.23254,1.38212,1.26897,0.009802,0.009802,0.009802
12,593.364,1.24713,0.95758,1.24838,0.72815,0.78056,0.78379,0.51934,1.22592,1.0756,1.24889,0.0097822,0.0097822,0.0097822
13,642.306,1.23005,0.91349,1.22398,0.75867,0.72638,0.73055,0.4805,1.18684,1.01166,1.20012,0.0097624,0.0097624,0.0097624
14,690.697,1.22254,0.9367,1.23056,0.7222,0.6725,0.7687,0.49381,1.20345,1.11994,1.22188,0.0097426,0.0097426,0.0097426
15,740.602,1.23275,0.92846,1.23386,0.78804,0.73122,0.77572,0.515,1.21584,1.0179,1.21531,0.0097228,0.0097228,0.0097228
16,788.932,1.23533,0.90775,1.228,0.73626,0.7318,0.76533,0.50155,1.22054,1.06735,1.25999,0.009703,0.009703,0.009703
17,837.951,1.2063,0.89414,1.22216,0.71802,0.77502,0.78123,0.52553,1.24646,1.02939,1.25221,0.0096832,0.0096832,0.0096832
18,886.714,1.17903,0.8606,1.20793,0.77833,0.7254,0.77858,0.50982,1.25155,1.07327,1.25726,0.0096634,0.0096634,0.0096634
19,934.768,1.2123,0.91004,1.22964,0.67651,0.8283,0.74295,0.48292,1.29187,0.94771,1.30141,0.0096436,0.0096436,0.0096436
20,982.945,1.19764,0.86826,1.20628,0.81226,0.72277,0.7607,0.49481,1.20448,1.01755,1.2313,0.0096238,0.0096238,0.0096238
21,1030.71,1.17808,0.84324,1.20877,0.70653,0.83862,0.79112,0.54667,1.22113,0.96933,1.25084,0.009604,0.009604,0.009604
22,1079.04,1.19964,0.85633,1.21338,0.77487,0.72051,0.78089,0.47242,1.22481,0.97411,1.27083,0.0095842,0.0095842,0.0095842
23,1127.41,1.15622,0.83743,1.19138,0.70552,0.78438,0.76473,0.51653,1.16219,0.90467,1.21404,0.0095644,0.0095644,0.0095644
24,1175.87,1.17303,0.83307,1.20954,0.75496,0.73648,0.76267,0.476,1.35429,0.98537,1.36006,0.0095446,0.0095446,0.0095446
25,1224.6,1.14852,0.84634,1.18429,0.77752,0.72047,0.78609,0.53498,1.19775,1.07728,1.20454,0.0095248,0.0095248,0.0095248
26,1272.98,1.17092,0.831,1.19886,0.82411,0.69667,0.79656,0.51664,1.28051,1.02315,1.2743,0.009505,0.009505,0.009505
27,1321.04,1.17788,0.85986,1.20522,0.82011,0.64864,0.76468,0.51525,1.17511,0.92917,1.22258,0.0094852,0.0094852,0.0094852
28,1369.35,1.17477,0.84453,1.20139,0.79475,0.65917,0.73394,0.4589,1.28446,1.02785,1.26969,0.0094654,0.0094654,0.0094654
29,1418.6,1.15903,0.84436,1.1906,0.70083,0.7535,0.77508,0.52341,1.21731,0.9877,1.22086,0.0094456,0.0094456,0.0094456
30,1466.83,1.16389,0.83167,1.19296,0.74231,0.73383,0.74961,0.53881,1.16944,0.92433,1.22003,0.0094258,0.0094258,0.0094258
31,1515.18,1.10928,0.77687,1.16776,0.75516,0.78761,0.79,0.49219,1.22563,1.05357,1.23639,0.009406,0.009406,0.009406
32,1563.6,1.1182,0.77966,1.16792,0.79334,0.8078,0.79767,0.48797,1.16476,1.03843,1.21202,0.0093862,0.0093862,0.0093862
33,1611.3,1.12692,0.82555,1.17816,0.78116,0.67987,0.7591,0.52615,1.16938,1.1338,1.19732,0.0093664,0.0093664,0.0093664
34,1660.37,1.11518,0.77278,1.17436,0.77724,0.76145,0.77242,0.54556,1.15608,1.01321,1.21125,0.0093466,0.0093466,0.0093466
35,1708.64,1.12446,0.78958,1.16792,0.86427,0.65804,0.76829,0.48719,1.186,0.9919,1.20965,0.0093268,0.0093268,0.0093268
36,1756.84,1.09814,0.78212,1.14865,0.87333,0.7299,0.82386,0.5301,1.23909,0.98609,1.21927,0.009307,0.009307,0.009307
37,1805.27,1.13023,0.77911,1.17473,0.71435,0.78223,0.78958,0.5087,1.16607,1.00359,1.18838,0.0092872,0.0092872,0.0092872
38,1854.16,1.10201,0.77527,1.1548,0.81434,0.71108,0.77837,0.51455,1.20322,1.13744,1.21191,0.0092674,0.0092674,0.0092674
